Ep ep_000242.15 | Time 0:59.75 | Steps  2935 | Reward  142264.5 | Avg(10)  167751.5 | Dist   1452m ( 46.9%) | Buf  51.5% | Total  974016 | End: off_track
Ep ep_000243.15 | Time 1:19.78 | Steps  3865 | Reward  188712.9 | Avg(10)  171304.3 | Dist   1969m ( 63.5%) | Buf  52.2% | Total  977881 | End: off_track
Ep ep_000244.15 | Time 1:14.94 | Steps  3645 | Reward  177735.8 | Avg(10)  171206.6 | Dist   1970m ( 63.5%) | Buf  53.0% | Total  981526 | End: off_track
Ep ep_000245.15 | Time 0:17.33 | Steps   881 | Reward   39556.7 | Avg(10)  156779.0 | Dist     10m (  0.3%) | Buf  53.2% | Total  982407 | End: off_track
Ep ep_000246.15 | Time 1:17.38 | Steps  3756 | Reward  183281.0 | Avg(10)  157335.9 | Dist   1970m ( 63.6%) | Buf  53.9% | Total  986163 | End: off_track
Ep ep_000247.15 | Time 1:16.79 | Steps  3729 | Reward  181946.3 | Avg(10)  160725.8 | Dist   1968m ( 63.5%) | Buf  54.7% | Total  989892 | End: off_track
Ep ep_000248.15 | Time 1:18.00 | Steps  3784 | Reward  184417.5 | Avg(10)  160990.6 | Dist   1980m ( 63.9%) | Buf  55.4% | Total  993676 | End: off_track
Ep ep_000249.15 | Time 1:11.99 | Steps  3511 | Reward  168296.8 | Avg(10)  162925.4 | Dist   1764m ( 56.9%) | Buf  56.1% | Total  997187 | End: off_track
Ep ep_000250.15 | Time 0:37.27 | Steps  1811 | Reward   82797.9 | Avg(10)  153201.4 | Dist    608m ( 19.6%) | Buf  56.5% | Total  998998 | End: too_slow
Ep ep_000251.15 | Time 1:17.58 | Steps  3765 | Reward  183538.2 | Avg(10)  153254.8 | Dist   1965m ( 63.4%) | Buf  57.2% | Total 1002763 | End: off_track
Ep ep_000252.15 | Time 1:17.32 | Steps  3753 | Reward  181588.3 | Avg(10)  157187.1 | Dist   1981m ( 63.9%) | Buf  58.0% | Total 1006516 | End: off_track
Ep ep_000253.15 | Time 1:18.95 | Steps  3827 | Reward  186555.4 | Avg(10)  156971.4 | Dist   1973m ( 63.7%) | Buf  58.7% | Total 1010343 | End: off_track
Ep ep_000254.15 | Time 1:19.76 | Steps  3864 | Reward  183440.2 | Avg(10)  157541.8 | Dist   1973m ( 63.7%) | Buf  59.5% | Total 1014207 | End: off_track
Ep ep_000255.15 | Time 0:17.60 | Steps   893 | Reward   40130.8 | Avg(10)  157599.2 | Dist     10m (  0.3%) | Buf  59.7% | Total 1015100 | End: off_track
Ep ep_000256.15 | Time 1:19.03 | Steps  3831 | Reward  185554.9 | Avg(10)  157826.6 | Dist   1976m ( 63.7%) | Buf  60.5% | Total 1018931 | End: off_track
Ep ep_000257.15 | Time 1:18.02 | Steps  3785 | Reward  184719.8 | Avg(10)  158104.0 | Dist   1970m ( 63.6%) | Buf  61.2% | Total 1022716 | End: off_track
Ep ep_000258.15 | Time 1:16.61 | Steps  3721 | Reward  181578.9 | Avg(10)  157820.1 | Dist   1939m ( 62.6%) | Buf  62.0% | Total 1026437 | End: off_track
Ep ep_000259.15 | Time 1:20.66 | Steps  3905 | Reward  189600.3 | Avg(10)  159950.5 | Dist   1966m ( 63.4%) | Buf  62.7% | Total 1030342 | End: off_track
Ep ep_000260.15 | Time 1:20.68 | Steps  3906 | Reward  190033.4 | Avg(10)  170674.0 | Dist   1991m ( 64.2%) | Buf  63.5% | Total 1034248 | End: damage
Ep ep_000261.15 | Time 0:17.90 | Steps   907 | Reward   40843.6 | Avg(10)  156404.6 | Dist     10m (  0.3%) | Buf  63.7% | Total 1035155 | End: off_track
Ep ep_000262.15 | Time 1:23.13 | Steps  4017 | Reward  196110.1 | Avg(10)  157856.7 | Dist   1980m ( 63.9%) | Buf  64.5% | Total 1039172 | End: off_track
Ep ep_000263.15 | Time 1:21.54 | Steps  3945 | Reward  191237.0 | Avg(10)  158324.9 | Dist   1971m ( 63.6%) | Buf  65.3% | Total 1043117 | End: off_track
Ep ep_000264.15 | Time 0:18.19 | Steps   920 | Reward   41407.0 | Avg(10)  144121.6 | Dist     10m (  0.3%) | Buf  65.5% | Total 1044037 | End: off_track
Ep ep_000265.15 | Time 2:22.98 | Steps  6806 | Reward  335288.6 | Avg(10)  173637.4 | Dist   2999m ( 96.8%) | Buf  66.8% | Total 1050843 | End: finished
Ep ep_000266.15 | Time 0:17.44 | Steps   886 | Reward   39662.2 | Avg(10)  159048.1 | Dist     10m (  0.3%) | Buf  67.0% | Total 1051729 | End: off_track
Ep ep_000267.15 | Time 1:24.84 | Steps  4095 | Reward  200101.9 | Avg(10)  160586.3 | Dist   1983m ( 64.0%) | Buf  67.8% | Total 1055824 | End: off_track
Ep ep_000268.15 | Time 0:18.04 | Steps   913 | Reward   40990.4 | Avg(10)  146527.4 | Dist     10m (  0.3%) | Buf  68.0% | Total 1056737 | End: off_track
Ep ep_000269.15 | Time 1:21.15 | Steps  3927 | Reward  189680.3 | Avg(10)  146535.4 | Dist   1916m ( 61.8%) | Buf  68.8% | Total 1060664 | End: off_track
Ep ep_000270.15 | Time 0:28.16 | Steps  1373 | Reward   64041.8 | Avg(10)  133936.3 | Dist    282m (  9.1%) | Buf  69.1% | Total 1062037 | End: off_track
Ep ep_000271.15 | Time 0:29.30 | Steps  1425 | Reward   66702.4 | Avg(10)  136522.2 | Dist    282m (  9.1%) | Buf  69.4% | Total 1063462 | End: off_track
Ep ep_000272.15 | Time 0:28.40 | Steps  1384 | Reward   64741.0 | Avg(10)  123385.3 | Dist    280m (  9.0%) | Buf  69.6% | Total 1064846 | End: off_track
Ep ep_000273.15 | Time 2:00.46 | Steps  5714 | Reward  278806.5 | Avg(10)  132142.2 | Dist   2804m ( 90.5%) | Buf  70.8% | Total 1070560 | End: off_track
Ep ep_000274.15 | Time 0:28.09 | Steps  1370 | Reward   64069.8 | Avg(10)  134408.5 | Dist    274m (  8.8%) | Buf  71.1% | Total 1071930 | End: off_track
Ep ep_000275.15 | Time 0:27.50 | Steps  1343 | Reward   62725.7 | Avg(10)  107152.2 | Dist    272m (  8.8%) | Buf  71.3% | Total 1073273 | End: off_track
Ep ep_000276.15 | Time 0:26.48 | Steps  1297 | Reward   60417.4 | Avg(10)  109227.7 | Dist    273m (  8.8%) | Buf  71.6% | Total 1074570 | End: off_track
Ep ep_000277.15 | Time 0:28.18 | Steps  1374 | Reward   64320.8 | Avg(10)   95649.6 | Dist    281m (  9.1%) | Buf  71.9% | Total 1075944 | End: off_track
Ep ep_000278.15 | Time 0:29.12 | Steps  1417 | Reward   66400.1 | Avg(10)   98190.6 | Dist    277m (  8.9%) | Buf  72.1% | Total 1077361 | End: off_track
  [ai-swap] loaded models/episodes/ep_000234.15 | new branch=16 | next=ep_000235.16
Ep ep_000235.16 | Time 1:19.74 | Steps  3863 | Reward  188732.3 | Avg(10)  188732.3 | Dist   1968m ( 63.5%) | Buf   0.8% | Total 1081224 | End: off_track
Ep ep_000236.16 | Time 1:13.71 | Steps  3589 | Reward  175064.8 | Avg(10)  181898.6 | Dist   1751m ( 56.5%) | Buf   1.5% | Total 1084813 | End: off_track
Ep ep_000237.16 | Time 1:22.36 | Steps  3982 | Reward  193908.6 | Avg(10)  185901.9 | Dist   1859m ( 60.0%) | Buf   2.3% | Total 1088795 | End: off_track
Ep ep_000238.16 | Time 1:24.03 | Steps  4058 | Reward  197917.3 | Avg(10)  188905.7 | Dist   1955m ( 63.1%) | Buf   3.1% | Total 1092853 | End: off_track
Ep ep_000239.16 | Time 1:19.23 | Steps  3840 | Reward  187344.8 | Avg(10)  188593.6 | Dist   1954m ( 63.0%) | Buf   3.9% | Total 1096693 | End: off_track
Ep ep_000240.16 | Time 2:02.33 | Steps  5800 | Reward  289742.4 | Avg(10)  205451.7 | Dist   2999m ( 96.8%) | Buf   5.0% | Total 1102493 | End: finished
Ep ep_000241.16 | Time 0:15.71 | Steps   806 | Reward   35757.3 | Avg(10)  181209.6 | Dist     10m (  0.3%) | Buf   5.2% | Total 1103299 | End: off_track
Ep ep_000242.16 | Time 0:17.22 | Steps   876 | Reward   39482.3 | Avg(10)  163493.7 | Dist     10m (  0.3%) | Buf   5.4% | Total 1104175 | End: off_track
Ep ep_000243.16 | Time 0:50.23 | Steps  2459 | Reward  117882.4 | Avg(10)  158425.8 | Dist   1025m ( 33.1%) | Buf   5.9% | Total 1106634 | End: off_track
Ep ep_000244.16 | Time 0:28.60 | Steps  1393 | Reward   65339.9 | Avg(10)  149117.2 | Dist    306m (  9.9%) | Buf   6.1% | Total 1108027 | End: off_track
Ep ep_000245.16 | Time 0:15.59 | Steps   800 | Reward   35621.9 | Avg(10)  133806.2 | Dist     10m (  0.3%) | Buf   6.3% | Total 1108827 | End: off_track
Ep ep_000246.16 | Time 0:22.02 | Steps  1094 | Reward   48707.1 | Avg(10)  121170.4 | Dist     64m (  2.1%) | Buf   6.5% | Total 1109921 | End: too_slow
Ep ep_000247.16 | Time 0:16.56 | Steps   846 | Reward   37934.4 | Avg(10)  105573.0 | Dist     10m (  0.3%) | Buf   6.7% | Total 1110767 | End: off_track
Ep ep_000248.16 | Time 0:17.20 | Steps   875 | Reward   39387.7 | Avg(10)   89720.0 | Dist     10m (  0.3%) | Buf   6.9% | Total 1111642 | End: off_track
Ep ep_000249.16 | Time 0:17.88 | Steps   906 | Reward   40846.5 | Avg(10)   75070.2 | Dist     10m (  0.3%) | Buf   7.0% | Total 1112548 | End: off_track
Ep ep_000250.16 | Time 0:17.35 | Steps   882 | Reward   39797.3 | Avg(10)   50075.7 | Dist     10m (  0.3%) | Buf   7.2% | Total 1113430 | End: off_track
Ep ep_000251.16 | Time 0:20.57 | Steps  1028 | Reward   44005.4 | Avg(10)   50900.5 | Dist     15m (  0.5%) | Buf   7.4% | Total 1114458 | End: off_track
Ep ep_000252.16 | Time 0:16.25 | Steps   832 | Reward   37272.5 | Avg(10)   50679.5 | Dist     10m (  0.3%) | Buf   7.6% | Total 1115290 | End: off_track
Ep ep_000253.16 | Time 0:14.29 | Steps   735 | Reward   32338.7 | Avg(10)   42125.1 | Dist     10m (  0.3%) | Buf   7.7% | Total 1116025 | End: off_track
Ep ep_000254.16 | Time 0:15.37 | Steps   789 | Reward   34998.3 | Avg(10)   39091.0 | Dist     10m (  0.3%) | Buf   7.9% | Total 1116814 | End: off_track
Ep ep_000255.16 | Time 0:46.23 | Steps  2259 | Reward  104773.2 | Avg(10)   46006.1 | Dist    881m ( 28.4%) | Buf   8.3% | Total 1119073 | End: off_track
Ep ep_000256.16 | Time 0:18.17 | Steps   919 | Reward   41494.1 | Avg(10)   45284.8 | Dist     10m (  0.3%) | Buf   8.5% | Total 1119992 | End: off_track
Ep ep_000257.16 | Time 0:17.38 | Steps   883 | Reward   39675.6 | Avg(10)   45458.9 | Dist     10m (  0.3%) | Buf   8.7% | Total 1120875 | End: off_track
Ep ep_000258.16 | Time 0:17.53 | Steps   890 | Reward   39985.9 | Avg(10)   45518.7 | Dist     10m (  0.3%) | Buf   8.9% | Total 1121765 | End: off_track
Ep ep_000259.16 | Time 0:51.73 | Steps  2534 | Reward  121723.7 | Avg(10)   53606.5 | Dist   1019m ( 32.9%) | Buf   9.4% | Total 1124299 | End: off_track
Ep ep_000260.16 | Time 0:17.09 | Steps   870 | Reward   38768.1 | Avg(10)   53503.5 | Dist     10m (  0.3%) | Buf   9.6% | Total 1125169 | End: off_track
Ep ep_000261.16 | Time 0:29.89 | Steps  1452 | Reward   67021.5 | Avg(10)   55805.2 | Dist    293m (  9.5%) | Buf   9.9% | Total 1126621 | End: off_track
Ep ep_000262.16 | Time 0:16.50 | Steps   843 | Reward   37156.0 | Avg(10)   55793.5 | Dist     10m (  0.3%) | Buf  10.0% | Total 1127464 | End: off_track
Ep ep_000263.16 | Time 1:23.04 | Steps  4013 | Reward  194011.1 | Avg(10)   71960.8 | Dist   1980m ( 63.9%) | Buf  10.8% | Total 1131477 | End: off_track
  [ai-swap] loaded models/episodes/ep_000265.15 | new branch=17 | next=ep_000266.17
Ep ep_000266.17 | Time 0:22.96 | Steps  1137 | Reward   52179.0 | Avg(10)   52179.0 | Dist     74m (  2.4%) | Buf   0.2% | Total 1132614 | End: off_track
Ep ep_000267.17 | Time 0:32.79 | Steps  1587 | Reward   74339.4 | Avg(10)   63259.2 | Dist    245m (  7.9%) | Buf   0.5% | Total 1134201 | End: off_track
Ep ep_000268.17 | Time 0:37.79 | Steps  1837 | Reward   83850.9 | Avg(10)   70123.1 | Dist    323m ( 10.4%) | Buf   0.9% | Total 1136038 | End: off_track
Ep ep_000269.17 | Time 1:34.41 | Steps  4530 | Reward  217068.7 | Avg(10)  106859.5 | Dist   1914m ( 61.7%) | Buf   1.8% | Total 1140568 | End: off_track
Ep ep_000270.17 | Time 0:23.45 | Steps  1159 | Reward   53258.3 | Avg(10)   96139.3 | Dist     10m (  0.3%) | Buf   2.0% | Total 1141727 | End: off_track
Ep ep_000271.17 | Time 1:36.52 | Steps  4626 | Reward  221994.1 | Avg(10)  117115.1 | Dist   1890m ( 61.0%) | Buf   3.0% | Total 1146353 | End: too_slow
Ep ep_000272.17 | Time 1:40.37 | Steps  4801 | Reward  227293.8 | Avg(10)  132854.9 | Dist   1893m ( 61.1%) | Buf   3.9% | Total 1151154 | End: off_track
Ep ep_000273.17 | Time 0:33.81 | Steps  1638 | Reward   70212.9 | Avg(10)  125024.7 | Dist    132m (  4.3%) | Buf   4.3% | Total 1152792 | End: off_track
Ep ep_000274.17 | Time 2:55.33 | Steps  8423 | Reward  381233.4 | Avg(10)  153492.3 | Dist   2999m ( 96.8%) | Buf   5.9% | Total 1161215 | End: finished
=== Restarting after change (load: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000274.17) 2026-05-30 19:37:46 ===
=== Session 2026-05-30 19:38:17 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000274.17 | next: ep_000275.17 ===
Ep ep_000275.17 | Time 0:05.59 | Steps   311 | Reward   10828.8 | Avg(10)   10828.8 | Dist     10m (  0.3%) | Buf   0.1% | Total     311 | End: off_track
Ep ep_000276.17 | Time 0:03.72 | Steps   226 | Reward    6065.0 | Avg(10)    8446.9 | Dist     10m (  0.3%) | Buf   0.1% | Total     537 | End: off_track
Ep ep_000277.17 | Time 0:04.76 | Steps   273 | Reward    8956.7 | Avg(10)    8616.9 | Dist     10m (  0.3%) | Buf   0.2% | Total     810 | End: off_track
Ep ep_000278.17 | Time 0:03.11 | Steps   198 | Reward    4565.6 | Avg(10)    7604.0 | Dist     10m (  0.3%) | Buf   0.2% | Total    1008 | End: off_track
Ep ep_000279.17 | Time 0:03.24 | Steps   204 | Reward    5025.2 | Avg(10)    7088.3 | Dist     10m (  0.3%) | Buf   0.2% | Total    1212 | End: off_track
Ep ep_000280.17 | Time 0:03.28 | Steps   206 | Reward    5149.3 | Avg(10)    6765.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1418 | End: off_track
Ep ep_000281.17 | Time 0:03.85 | Steps   232 | Reward    6554.3 | Avg(10)    6735.0 | Dist     10m (  0.3%) | Buf   0.3% | Total    1650 | End: off_track
