=== Session 2026-05-30 12:21:21 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000000 | next: ep_000001 ===
Ep ep_000067 | Time 0:52.67 | Steps  2581 | Reward  121173.8 | Avg(10)   52728.4 | Dist   1302m ( 40.7%) | Buf   9.5% | Total   47550 | End: off_track
Ep ep_000068 | Time 0:08.97 | Steps   469 | Reward   18871.6 | Avg(10)   50729.2 | Dist     10m (  0.3%) | Buf   9.6% | Total   48019 | End: off_track
Ep ep_000069 | Time 0:11.27 | Steps   584 | Reward   24644.4 | Avg(10)   41135.0 | Dist     10m (  0.3%) | Buf   9.7% | Total   48603 | End: off_track
Ep ep_000070 | Time 0:08.69 | Steps   455 | Reward   18099.9 | Avg(10)   38043.5 | Dist     10m (  0.3%) | Buf   9.8% | Total   49058 | End: off_track
Ep ep_000071 | Time 0:55.59 | Steps  2727 | Reward  130465.4 | Avg(10)   47008.2 | Dist   1286m ( 40.2%) | Buf  10.4% | Total   51785 | End: off_track
Ep ep_000072 | Time 0:08.99 | Steps   470 | Reward   18651.4 | Avg(10)   44452.2 | Dist     10m (  0.3%) | Buf  10.5% | Total   52255 | End: off_track
Ep ep_000073 | Time 0:08.83 | Steps   462 | Reward   18193.7 | Avg(10)   43884.1 | Dist     10m (  0.3%) | Buf  10.5% | Total   52717 | End: off_track
Ep ep_000074 | Time 0:11.41 | Steps   591 | Reward   24678.3 | Avg(10)   42291.6 | Dist     10m (  0.3%) | Buf  10.7% | Total   53308 | End: off_track
Ep ep_000075 | Time 0:09.05 | Steps   473 | Reward   18641.1 | Avg(10)   41773.3 | Dist     10m (  0.3%) | Buf  10.8% | Total   53781 | End: off_track
Ep ep_000076 | Time 0:09.09 | Steps   475 | Reward   18525.6 | Avg(10)   41194.5 | Dist     10m (  0.3%) | Buf  10.9% | Total   54256 | End: off_track
Ep ep_000077 | Time 0:10.91 | Steps   566 | Reward   22997.5 | Avg(10)   31376.9 | Dist     10m (  0.3%) | Buf  11.0% | Total   54822 | End: off_track
Ep ep_000078 | Time 0:11.19 | Steps   580 | Reward   23506.5 | Avg(10)   31840.4 | Dist     10m (  0.3%) | Buf  11.1% | Total   55402 | End: off_track
Ep ep_000079 | Time 0:09.07 | Steps   474 | Reward   18355.1 | Avg(10)   31211.4 | Dist     10m (  0.3%) | Buf  11.2% | Total   55876 | End: off_track
Ep ep_000080 | Time 0:11.09 | Steps   575 | Reward   23436.1 | Avg(10)   31745.1 | Dist     10m (  0.3%) | Buf  11.3% | Total   56451 | End: off_track
Ep ep_000081 | Time 0:08.83 | Steps   462 | Reward   17735.1 | Avg(10)   20472.0 | Dist     10m (  0.3%) | Buf  11.4% | Total   56913 | End: off_track
Ep ep_000082 | Time 0:10.27 | Steps   534 | Reward   21343.6 | Avg(10)   20741.2 | Dist     10m (  0.3%) | Buf  11.5% | Total   57447 | End: off_track
Ep ep_000083 | Time 0:10.25 | Steps   533 | Reward   21374.5 | Avg(10)   21059.3 | Dist     10m (  0.3%) | Buf  11.6% | Total   57980 | End: off_track
Ep ep_000084 | Time 0:09.27 | Steps   484 | Reward   18862.5 | Avg(10)   20477.7 | Dist     10m (  0.3%) | Buf  11.7% | Total   58464 | End: off_track
Ep ep_000085 | Time 0:08.69 | Steps   455 | Reward   17361.5 | Avg(10)   20349.8 | Dist     10m (  0.3%) | Buf  11.8% | Total   58919 | End: off_track
Ep ep_000086 | Time 0:08.73 | Steps   457 | Reward   17480.4 | Avg(10)   20245.3 | Dist     10m (  0.3%) | Buf  11.9% | Total   59376 | End: off_track
