Ep ep_000175.14 | Time 0:03.13 | Steps   199 | Reward    5870.4 | Avg(10)   38734.8 | Dist     10m (  0.3%) | Buf   3.0% | Total  707412 | End: off_track
Ep ep_000176.14 | Time 0:03.17 | Steps   201 | Reward    5969.8 | Avg(10)   35508.4 | Dist     10m (  0.3%) | Buf   3.0% | Total  707613 | End: off_track
Ep ep_000177.14 | Time 0:03.11 | Steps   198 | Reward    5419.5 | Avg(10)   32227.9 | Dist     10m (  0.3%) | Buf   3.1% | Total  707811 | End: off_track
Ep ep_000178.14 | Time 0:03.68 | Steps   224 | Reward    7141.9 | Avg(10)   28884.0 | Dist     10m (  0.3%) | Buf   3.1% | Total  708035 | End: off_track
Ep ep_000179.14 | Time 0:16.89 | Steps   861 | Reward   38970.8 | Avg(10)   28737.8 | Dist     10m (  0.3%) | Buf   3.3% | Total  708896 | End: off_track
Ep ep_000180.14 | Time 0:18.59 | Steps   938 | Reward   42799.1 | Avg(10)   28759.5 | Dist     10m (  0.3%) | Buf   3.5% | Total  709834 | End: off_track
Ep ep_000181.14 | Time 0:17.09 | Steps   870 | Reward   39434.6 | Avg(10)   28084.2 | Dist     10m (  0.3%) | Buf   3.7% | Total  710704 | End: off_track
Ep ep_000182.14 | Time 0:16.87 | Steps   860 | Reward   38889.2 | Avg(10)   27213.2 | Dist     10m (  0.3%) | Buf   3.8% | Total  711564 | End: off_track
Ep ep_000183.14 | Time 0:16.87 | Steps   860 | Reward   38885.1 | Avg(10)   27063.1 | Dist     10m (  0.3%) | Buf   4.0% | Total  712424 | End: off_track
Ep ep_000184.14 | Time 0:16.76 | Steps   855 | Reward   38637.8 | Avg(10)   26201.8 | Dist     10m (  0.3%) | Buf   4.2% | Total  713279 | End: off_track
Ep ep_000185.14 | Time 0:17.11 | Steps   871 | Reward   39431.9 | Avg(10)   29558.0 | Dist     10m (  0.3%) | Buf   4.3% | Total  714150 | End: off_track
Ep ep_000186.14 | Time 0:15.71 | Steps   806 | Reward   36132.6 | Avg(10)   32574.3 | Dist     10m (  0.3%) | Buf   4.5% | Total  714956 | End: off_track
Ep ep_000187.14 | Time 0:16.69 | Steps   852 | Reward   38446.4 | Avg(10)   35876.9 | Dist     10m (  0.3%) | Buf   4.7% | Total  715808 | End: off_track
Ep ep_000188.14 | Time 0:16.25 | Steps   832 | Reward   37422.5 | Avg(10)   38905.0 | Dist     10m (  0.3%) | Buf   4.8% | Total  716640 | End: off_track
  [ai-swap] loaded models/episodes/ep_000161.12 | new branch=15 | next=ep_000162.15
Ep ep_000162.15 | Time 1:07.70 | Steps  3316 | Reward  161434.5 | Avg(10)  161434.5 | Dist   1464m ( 47.2%) | Buf   0.7% | Total  719956 | End: off_track
Ep ep_000163.15 | Time 0:28.60 | Steps  1393 | Reward   64917.3 | Avg(10)  113175.9 | Dist    237m (  7.6%) | Buf   0.9% | Total  721349 | End: off_track
Ep ep_000164.15 | Time 0:19.44 | Steps   977 | Reward   43884.6 | Avg(10)   90078.8 | Dist     10m (  0.3%) | Buf   1.1% | Total  722326 | End: off_track
Ep ep_000165.15 | Time 0:19.49 | Steps   979 | Reward   43422.6 | Avg(10)   78414.7 | Dist     10m (  0.3%) | Buf   1.3% | Total  723305 | End: off_track
Ep ep_000166.15 | Time 0:27.78 | Steps  1356 | Reward   62858.8 | Avg(10)   75303.5 | Dist    241m (  7.8%) | Buf   1.6% | Total  724661 | End: off_track
Ep ep_000167.15 | Time 0:14.71 | Steps   756 | Reward   32796.4 | Avg(10)   68219.0 | Dist     10m (  0.3%) | Buf   1.8% | Total  725417 | End: off_track
Ep ep_000168.15 | Time 0:39.69 | Steps  1932 | Reward   90794.6 | Avg(10)   71444.1 | Dist    522m ( 16.8%) | Buf   2.1% | Total  727349 | End: off_track
Ep ep_000169.15 | Time 1:25.00 | Steps  4102 | Reward  199488.0 | Avg(10)   87449.6 | Dist   1940m ( 62.6%) | Buf   3.0% | Total  731451 | End: off_track
Ep ep_000170.15 | Time 0:21.93 | Steps  1090 | Reward   50022.5 | Avg(10)   83291.0 | Dist     22m (  0.7%) | Buf   3.2% | Total  732541 | End: off_track
Ep ep_000171.15 | Time 0:19.62 | Steps   985 | Reward   44920.3 | Avg(10)   79453.9 | Dist     10m (  0.3%) | Buf   3.4% | Total  733526 | End: off_track
Ep ep_000172.15 | Time 0:20.08 | Steps  1006 | Reward   45529.2 | Avg(10)   67863.4 | Dist     12m (  0.4%) | Buf   3.6% | Total  734532 | End: off_track
Ep ep_000173.15 | Time 1:25.92 | Steps  4144 | Reward  202753.3 | Avg(10)   81647.0 | Dist   1967m ( 63.5%) | Buf   4.4% | Total  738676 | End: off_track
Ep ep_000174.15 | Time 1:22.82 | Steps  4003 | Reward  195791.1 | Avg(10)   96837.7 | Dist   1980m ( 63.9%) | Buf   5.2% | Total  742679 | End: off_track
Ep ep_000175.15 | Time 0:30.31 | Steps  1471 | Reward   69174.0 | Avg(10)   99412.8 | Dist    304m (  9.8%) | Buf   5.5% | Total  744150 | End: off_track
Ep ep_000176.15 | Time 2:01.34 | Steps  5754 | Reward  271127.5 | Avg(10)  120239.7 | Dist   2496m ( 80.5%) | Buf   6.7% | Total  749904 | End: off_track
Ep ep_000177.15 | Time 2:04.42 | Steps  5894 | Reward  286834.5 | Avg(10)  145643.5 | Dist   2768m ( 89.3%) | Buf   7.8% | Total  755798 | End: off_track
Ep ep_000178.15 | Time 1:22.07 | Steps  3969 | Reward  193768.1 | Avg(10)  155940.9 | Dist   1971m ( 63.6%) | Buf   8.6% | Total  759767 | End: off_track
Ep ep_000179.15 | Time 1:24.31 | Steps  4071 | Reward  198150.8 | Avg(10)  155807.1 | Dist   2016m ( 65.1%) | Buf   9.4% | Total  763838 | End: off_track
Ep ep_000180.15 | Time 1:18.64 | Steps  3813 | Reward  185939.3 | Avg(10)  169398.8 | Dist   1974m ( 63.7%) | Buf  10.2% | Total  767651 | End: off_track
Ep ep_000181.15 | Time 1:19.87 | Steps  3869 | Reward  188667.3 | Avg(10)  183773.5 | Dist   1966m ( 63.4%) | Buf  11.0% | Total  771520 | End: off_track
Ep ep_000182.15 | Time 1:18.11 | Steps  3789 | Reward  184534.9 | Avg(10)  197674.1 | Dist   1964m ( 63.4%) | Buf  11.7% | Total  775309 | End: off_track
Ep ep_000183.15 | Time 1:19.23 | Steps  3840 | Reward  184846.8 | Avg(10)  195883.4 | Dist   1703m ( 55.0%) | Buf  12.5% | Total  779149 | End: off_track
Ep ep_000184.15 | Time 1:21.17 | Steps  3928 | Reward  191538.2 | Avg(10)  195458.1 | Dist   1962m ( 63.3%) | Buf  13.3% | Total  783077 | End: off_track
Ep ep_000185.15 | Time 1:24.42 | Steps  4076 | Reward  194522.3 | Avg(10)  207993.0 | Dist   1701m ( 54.9%) | Buf  14.1% | Total  787153 | End: too_slow
Ep ep_000186.15 | Time 1:22.51 | Steps  3989 | Reward  194734.6 | Avg(10)  200353.7 | Dist   1968m ( 63.5%) | Buf  14.9% | Total  791142 | End: off_track
Ep ep_000187.15 | Time 1:22.47 | Steps  3987 | Reward  194625.7 | Avg(10)  191132.8 | Dist   1975m ( 63.7%) | Buf  15.7% | Total  795129 | End: off_track
Ep ep_000188.15 | Time 1:32.63 | Steps  4449 | Reward  215124.9 | Avg(10)  193268.5 | Dist   2010m ( 64.8%) | Buf  16.6% | Total  799578 | End: off_track
Ep ep_000189.15 | Time 1:21.06 | Steps  3923 | Reward  191191.3 | Avg(10)  192572.5 | Dist   1961m ( 63.3%) | Buf  17.4% | Total  803501 | End: off_track
Ep ep_000190.15 | Time 0:47.45 | Steps  2320 | Reward  111143.3 | Avg(10)  185092.9 | Dist    828m ( 26.7%) | Buf  17.8% | Total  805821 | End: off_track
Ep ep_000191.15 | Time 1:31.60 | Steps  4402 | Reward  214636.2 | Avg(10)  187689.8 | Dist   1974m ( 63.7%) | Buf  18.7% | Total  810223 | End: off_track
Ep ep_000192.15 | Time 1:22.22 | Steps  3976 | Reward  193500.9 | Avg(10)  188586.4 | Dist   1960m ( 63.2%) | Buf  19.5% | Total  814199 | End: off_track
Ep ep_000193.15 | Time 1:23.32 | Steps  4026 | Reward  195745.6 | Avg(10)  189676.3 | Dist   1962m ( 63.3%) | Buf  20.3% | Total  818225 | End: off_track
Ep ep_000194.15 | Time 0:17.02 | Steps   867 | Reward   38362.2 | Avg(10)  174358.7 | Dist     10m (  0.3%) | Buf  20.5% | Total  819092 | End: off_track
Ep ep_000195.15 | Time 0:16.89 | Steps   861 | Reward   38213.1 | Avg(10)  158727.8 | Dist     10m (  0.3%) | Buf  20.7% | Total  819953 | End: off_track
Ep ep_000196.15 | Time 1:22.31 | Steps  3980 | Reward  193804.9 | Avg(10)  158634.8 | Dist   1957m ( 63.1%) | Buf  21.5% | Total  823933 | End: off_track
Ep ep_000197.15 | Time 0:29.92 | Steps  1453 | Reward   67960.8 | Avg(10)  145968.3 | Dist    299m (  9.7%) | Buf  21.7% | Total  825386 | End: off_track
Ep ep_000198.15 | Time 1:20.95 | Steps  3918 | Reward  190633.2 | Avg(10)  143519.1 | Dist   1956m ( 63.1%) | Buf  22.5% | Total  829304 | End: off_track
Ep ep_000199.15 | Time 1:23.54 | Steps  4036 | Reward  195825.6 | Avg(10)  143982.6 | Dist   1965m ( 63.4%) | Buf  23.3% | Total  833340 | End: off_track
Ep ep_000200.15 | Time 1:24.56 | Steps  4082 | Reward  198365.7 | Avg(10)  152704.8 | Dist   1966m ( 63.4%) | Buf  24.2% | Total  837422 | End: off_track
Ep ep_000201.15 | Time 0:09.45 | Steps   493 | Reward   20204.9 | Avg(10)  133261.7 | Dist     10m (  0.3%) | Buf  24.3% | Total  837915 | End: off_track
Ep ep_000202.15 | Time 0:15.61 | Steps   801 | Reward   35563.7 | Avg(10)  117468.0 | Dist     10m (  0.3%) | Buf  24.4% | Total  838716 | End: off_track
Ep ep_000203.15 | Time 1:26.23 | Steps  4158 | Reward  202177.0 | Avg(10)  118111.1 | Dist   1963m ( 63.3%) | Buf  25.2% | Total  842874 | End: off_track
Ep ep_000204.15 | Time 1:21.32 | Steps  3935 | Reward  191673.0 | Avg(10)  133442.2 | Dist   1959m ( 63.2%) | Buf  26.0% | Total  846809 | End: off_track
Ep ep_000205.15 | Time 0:18.83 | Steps   949 | Reward   43043.7 | Avg(10)  133925.2 | Dist     12m (  0.4%) | Buf  26.2% | Total  847758 | End: off_track
Ep ep_000206.15 | Time 1:22.75 | Steps  4000 | Reward  195355.4 | Avg(10)  134080.3 | Dist   1982m ( 63.9%) | Buf  27.0% | Total  851758 | End: off_track
Ep ep_000207.15 | Time 1:14.66 | Steps  3632 | Reward  175281.3 | Avg(10)  144812.3 | Dist   1769m ( 57.1%) | Buf  27.8% | Total  855390 | End: too_slow
Ep ep_000208.15 | Time 1:13.09 | Steps  3561 | Reward  173136.6 | Avg(10)  143062.7 | Dist   1749m ( 56.4%) | Buf  28.5% | Total  858951 | End: off_track
Ep ep_000209.15 | Time 1:11.44 | Steps  3486 | Reward  169486.3 | Avg(10)  140428.8 | Dist   1612m ( 52.0%) | Buf  29.2% | Total  862437 | End: off_track
Ep ep_000210.15 | Time 1:19.76 | Steps  3864 | Reward  187371.7 | Avg(10)  139329.4 | Dist   1960m ( 63.2%) | Buf  29.9% | Total  866301 | End: off_track
Ep ep_000211.15 | Time 1:13.93 | Steps  3599 | Reward  172704.5 | Avg(10)  154579.3 | Dist   1788m ( 57.7%) | Buf  30.7% | Total  869900 | End: too_slow
Ep ep_000212.15 | Time 1:13.18 | Steps  3565 | Reward  173637.4 | Avg(10)  168386.7 | Dist   1758m ( 56.7%) | Buf  31.4% | Total  873465 | End: off_track
Ep ep_000213.15 | Time 1:19.36 | Steps  3846 | Reward  186608.9 | Avg(10)  166829.9 | Dist   1963m ( 63.3%) | Buf  32.1% | Total  877311 | End: off_track
Ep ep_000214.15 | Time 1:18.07 | Steps  3787 | Reward  183952.8 | Avg(10)  166057.9 | Dist   1959m ( 63.2%) | Buf  32.9% | Total  881098 | End: off_track
Ep ep_000215.15 | Time 1:03.73 | Steps  3134 | Reward  151992.7 | Avg(10)  176952.8 | Dist   1423m ( 45.9%) | Buf  33.5% | Total  884232 | End: off_track
Ep ep_000216.15 | Time 1:15.40 | Steps  3666 | Reward  173792.9 | Avg(10)  174796.5 | Dist   1619m ( 52.2%) | Buf  34.3% | Total  887898 | End: off_track
Ep ep_000217.15 | Time 1:18.24 | Steps  3795 | Reward  183243.2 | Avg(10)  175592.7 | Dist   1967m ( 63.5%) | Buf  35.0% | Total  891693 | End: off_track
Ep ep_000218.15 | Time 1:18.53 | Steps  3808 | Reward  184252.4 | Avg(10)  176704.3 | Dist   1970m ( 63.6%) | Buf  35.8% | Total  895501 | End: off_track
Ep ep_000219.15 | Time 0:15.11 | Steps   776 | Reward   33933.2 | Avg(10)  163149.0 | Dist     10m (  0.3%) | Buf  35.9% | Total  896277 | End: off_track
Ep ep_000220.15 | Time 0:14.67 | Steps   754 | Reward   32921.2 | Avg(10)  147703.9 | Dist     10m (  0.3%) | Buf  36.1% | Total  897031 | End: off_track
Ep ep_000221.15 | Time 0:14.39 | Steps   740 | Reward   32319.7 | Avg(10)  133665.4 | Dist     10m (  0.3%) | Buf  36.2% | Total  897771 | End: off_track
Ep ep_000222.15 | Time 0:57.77 | Steps  2836 | Reward  137147.1 | Avg(10)  130016.4 | Dist   1141m ( 36.8%) | Buf  36.8% | Total  900607 | End: off_track
Ep ep_000223.15 | Time 1:12.94 | Steps  3554 | Reward  173397.4 | Avg(10)  128695.3 | Dist   1707m ( 55.1%) | Buf  37.5% | Total  904161 | End: off_track
Ep ep_000224.15 | Time 1:20.64 | Steps  3904 | Reward  189785.2 | Avg(10)  129278.5 | Dist   1971m ( 63.6%) | Buf  38.3% | Total  908065 | End: off_track
Ep ep_000225.15 | Time 1:25.94 | Steps  4145 | Reward  201901.0 | Avg(10)  134269.3 | Dist   1979m ( 63.8%) | Buf  39.1% | Total  912210 | End: off_track
Ep ep_000226.15 | Time 1:13.23 | Steps  3567 | Reward  172787.6 | Avg(10)  134168.8 | Dist   1754m ( 56.6%) | Buf  39.8% | Total  915777 | End: off_track
Ep ep_000227.15 | Time 1:54.56 | Steps  5446 | Reward  266212.8 | Avg(10)  142465.8 | Dist   2771m ( 89.4%) | Buf  40.9% | Total  921223 | End: off_track
Ep ep_000228.15 | Time 1:18.88 | Steps  3824 | Reward  186751.5 | Avg(10)  142715.7 | Dist   1954m ( 63.1%) | Buf  41.7% | Total  925047 | End: off_track
Ep ep_000229.15 | Time 1:19.76 | Steps  3864 | Reward  188624.8 | Avg(10)  158184.8 | Dist   1955m ( 63.1%) | Buf  42.5% | Total  928911 | End: off_track
Ep ep_000230.15 | Time 1:20.90 | Steps  3916 | Reward  191407.1 | Avg(10)  174033.4 | Dist   1956m ( 63.1%) | Buf  43.2% | Total  932827 | End: off_track
Ep ep_000231.15 | Time 1:08.39 | Steps  3347 | Reward  160669.6 | Avg(10)  186868.4 | Dist   1523m ( 49.1%) | Buf  43.9% | Total  936174 | End: off_track
Ep ep_000232.15 | Time 1:08.85 | Steps  3368 | Reward  163705.0 | Avg(10)  189524.2 | Dist   1676m ( 54.1%) | Buf  44.6% | Total  939542 | End: off_track
Ep ep_000233.15 | Time 1:04.12 | Steps  3153 | Reward  153185.4 | Avg(10)  187503.0 | Dist   1447m ( 46.7%) | Buf  45.2% | Total  942695 | End: off_track
Ep ep_000234.15 | Time 1:15.36 | Steps  3664 | Reward  178712.5 | Avg(10)  186395.7 | Dist   1954m ( 63.0%) | Buf  45.9% | Total  946359 | End: off_track
Ep ep_000235.15 | Time 1:18.11 | Steps  3789 | Reward  183833.2 | Avg(10)  184589.0 | Dist   1972m ( 63.6%) | Buf  46.7% | Total  950148 | End: off_track
