Ep ep_000676.26 | Time 0:05.17 | Steps   292 | Reward   12244.5 | Avg(10)    8574.8 | Dist     10m (  0.3%) | Buf   0.5% | Total    2544 | End: off_track
Ep ep_000677.26 | Time 0:03.28 | Steps   206 | Reward    6943.2 | Avg(10)    8507.8 | Dist     10m (  0.3%) | Buf   0.6% | Total    2750 | End: off_track
Ep ep_000678.26 | Time 0:03.59 | Steps   220 | Reward    7918.9 | Avg(10)    8722.8 | Dist     10m (  0.3%) | Buf   0.6% | Total    2970 | End: off_track
Ep ep_000679.26 | Time 0:03.46 | Steps   214 | Reward    7562.3 | Avg(10)    8856.4 | Dist     10m (  0.3%) | Buf   0.6% | Total    3184 | End: off_track
Ep ep_000680.26 | Time 0:04.16 | Steps   246 | Reward    9495.7 | Avg(10)    8982.4 | Dist     10m (  0.3%) | Buf   0.7% | Total    3430 | End: off_track
Ep ep_000681.26 | Time 0:03.57 | Steps   219 | Reward    7863.2 | Avg(10)    8907.2 | Dist     10m (  0.3%) | Buf   0.7% | Total    3649 | End: off_track
Ep ep_000682.26 | Time 0:03.83 | Steps   231 | Reward    8541.6 | Avg(10)    8985.8 | Dist     10m (  0.3%) | Buf   0.8% | Total    3880 | End: off_track
Ep ep_000683.26 | Time 0:07.53 | Steps   399 | Reward   18728.1 | Avg(10)   10097.1 | Dist     10m (  0.3%) | Buf   0.9% | Total    4279 | End: off_track
Ep ep_000684.26 | Time 0:04.43 | Steps   258 | Reward   10146.6 | Avg(10)   10218.8 | Dist     10m (  0.3%) | Buf   0.9% | Total    4537 | End: off_track
Ep ep_000685.26 | Time 0:03.68 | Steps   224 | Reward    8252.9 | Avg(10)    9769.7 | Dist     10m (  0.3%) | Buf   1.0% | Total    4761 | End: off_track
Ep ep_000686.26 | Time 0:02.69 | Steps   179 | Reward    5128.8 | Avg(10)    9058.1 | Dist     10m (  0.3%) | Buf   1.0% | Total    4940 | End: off_track
Ep ep_000687.26 | Time 0:16.91 | Steps   862 | Reward   42283.4 | Avg(10)   12592.1 | Dist     10m (  0.3%) | Buf   1.2% | Total    5802 | End: off_track
Ep ep_000688.26 | Time 0:45.01 | Steps  2198 | Reward  126801.3 | Avg(10)   24480.4 | Dist    393m ( 12.3%) | Buf   1.6% | Total    8000 | End: off_track
Ep ep_000689.26 | Time 0:12.25 | Steps   633 | Reward   31695.6 | Avg(10)   26893.7 | Dist     10m (  0.3%) | Buf   1.7% | Total    8633 | End: off_track
Ep ep_000690.26 | Time 0:11.91 | Steps   616 | Reward   32118.1 | Avg(10)   29156.0 | Dist     10m (  0.3%) | Buf   1.8% | Total    9249 | End: off_track
Ep ep_000691.26 | Time 0:12.39 | Steps   640 | Reward   33557.4 | Avg(10)   31725.4 | Dist     10m (  0.3%) | Buf   2.0% | Total    9889 | End: off_track
Ep ep_000692.26 | Time 0:39.61 | Steps  1928 | Reward  110901.9 | Avg(10)   41961.4 | Dist    349m ( 10.9%) | Buf   2.4% | Total   11817 | End: off_track
Ep ep_000693.26 | Time 0:33.39 | Steps  1617 | Reward   92149.7 | Avg(10)   49303.6 | Dist    348m ( 10.9%) | Buf   2.7% | Total   13434 | End: off_track
Ep ep_000694.26 | Time 0:34.61 | Steps  1678 | Reward   95819.4 | Avg(10)   57870.9 | Dist    340m ( 10.6%) | Buf   3.0% | Total   15112 | End: off_track
Ep ep_000695.26 | Time 0:33.71 | Steps  1633 | Reward   93133.8 | Avg(10)   66359.0 | Dist    190m (  5.9%) | Buf   3.3% | Total   16745 | End: off_track
Ep ep_000696.26 | Time 0:03.90 | Steps   234 | Reward    7886.9 | Avg(10)   66634.8 | Dist     10m (  0.3%) | Buf   3.4% | Total   16979 | End: off_track
Ep ep_000697.26 | Time 0:20.90 | Steps  1043 | Reward   57398.1 | Avg(10)   68146.2 | Dist    101m (  3.2%) | Buf   3.6% | Total   18022 | End: off_track
Ep ep_000698.26 | Time 0:34.81 | Steps  1688 | Reward   96422.1 | Avg(10)   65108.3 | Dist    361m ( 11.3%) | Buf   3.9% | Total   19710 | End: off_track
Ep ep_000699.26 | Time 0:27.21 | Steps  1330 | Reward   73068.1 | Avg(10)   69245.6 | Dist    252m (  7.9%) | Buf   4.2% | Total   21040 | End: off_track
Ep ep_000700.26 | Time 0:31.92 | Steps  1544 | Reward   87752.2 | Avg(10)   74809.0 | Dist    348m ( 10.9%) | Buf   4.5% | Total   22584 | End: off_track
Ep ep_000701.26 | Time 0:33.57 | Steps  1626 | Reward   92520.3 | Avg(10)   80705.3 | Dist    349m ( 10.9%) | Buf   4.8% | Total   24210 | End: off_track
Ep ep_000702.26 | Time 0:33.21 | Steps  1608 | Reward   90766.4 | Avg(10)   78691.7 | Dist    347m ( 10.9%) | Buf   5.2% | Total   25818 | End: off_track
Ep ep_000703.26 | Time 0:35.17 | Steps  1706 | Reward   97257.0 | Avg(10)   79202.4 | Dist    346m ( 10.8%) | Buf   5.5% | Total   27524 | End: off_track
Ep ep_000704.26 | Time 0:37.17 | Steps  1806 | Reward  103380.2 | Avg(10)   79958.5 | Dist    355m ( 11.1%) | Buf   5.9% | Total   29330 | End: off_track
Ep ep_000705.26 | Time 0:36.49 | Steps  1772 | Reward  101340.0 | Avg(10)   80779.1 | Dist    356m ( 11.1%) | Buf   6.2% | Total   31102 | End: off_track
Ep ep_000706.26 | Time 0:13.83 | Steps   712 | Reward   37169.3 | Avg(10)   83707.4 | Dist     10m (  0.3%) | Buf   6.4% | Total   31814 | End: off_track
Ep ep_000707.26 | Time 0:38.21 | Steps  1858 | Reward  105784.3 | Avg(10)   88546.0 | Dist    370m ( 11.6%) | Buf   6.7% | Total   33672 | End: off_track
Ep ep_000708.26 | Time 0:38.17 | Steps  1856 | Reward  104247.6 | Avg(10)   89328.5 | Dist    374m ( 11.7%) | Buf   7.1% | Total   35528 | End: off_track
Ep ep_000709.26 | Time 0:30.86 | Steps  1496 | Reward   84783.9 | Avg(10)   90500.1 | Dist    277m (  8.7%) | Buf   7.4% | Total   37024 | End: off_track
Ep ep_000710.26 | Time 0:28.66 | Steps  1396 | Reward   78400.2 | Avg(10)   89564.9 | Dist    245m (  7.7%) | Buf   7.7% | Total   38420 | End: off_track
Ep ep_000711.26 | Time 0:28.27 | Steps  1378 | Reward   76285.7 | Avg(10)   87941.5 | Dist    258m (  8.1%) | Buf   8.0% | Total   39798 | End: too_slow
Ep ep_000712.26 | Time 0:29.43 | Steps  1431 | Reward   79698.3 | Avg(10)   86834.6 | Dist    239m (  7.5%) | Buf   8.2% | Total   41229 | End: off_track
Ep ep_000713.26 | Time 0:26.00 | Steps  1275 | Reward   71581.5 | Avg(10)   84267.1 | Dist    196m (  6.1%) | Buf   8.5% | Total   42504 | End: off_track
Ep ep_000714.26 | Time 0:24.75 | Steps  1218 | Reward   68282.9 | Avg(10)   80757.4 | Dist    163m (  5.1%) | Buf   8.7% | Total   43722 | End: off_track
Ep ep_000715.26 | Time 0:27.45 | Steps  1341 | Reward   73758.2 | Avg(10)   77999.2 | Dist    225m (  7.0%) | Buf   9.0% | Total   45063 | End: too_slow
Ep ep_000716.26 | Time 0:33.43 | Steps  1619 | Reward   92361.1 | Avg(10)   83518.4 | Dist    364m ( 11.4%) | Buf   9.3% | Total   46682 | End: off_track
Ep ep_000717.26 | Time 0:34.01 | Steps  1648 | Reward   93956.6 | Avg(10)   82335.6 | Dist    368m ( 11.5%) | Buf   9.7% | Total   48330 | End: off_track
Ep ep_000718.26 | Time 0:34.45 | Steps  1670 | Reward   95342.1 | Avg(10)   81445.0 | Dist    372m ( 11.6%) | Buf  10.0% | Total   50000 | End: off_track
Ep ep_000719.26 | Time 1:11.25 | Steps  3477 | Reward  202145.6 | Avg(10)   93181.2 | Dist   1252m ( 39.1%) | Buf  10.7% | Total   53477 | End: backwards
Ep ep_000720.26 | Time 0:29.26 | Steps  1423 | Reward   80514.0 | Avg(10)   93392.6 | Dist    258m (  8.1%) | Buf  11.0% | Total   54900 | End: off_track
Ep ep_000721.26 | Time 0:31.17 | Steps  1510 | Reward   83642.4 | Avg(10)   94128.3 | Dist    323m ( 10.1%) | Buf  11.3% | Total   56410 | End: too_slow
Ep ep_000722.26 | Time 0:27.19 | Steps  1329 | Reward   73323.6 | Avg(10)   93490.8 | Dist    197m (  6.2%) | Buf  11.5% | Total   57739 | End: too_slow
Ep ep_000723.26 | Time 0:27.54 | Steps  1345 | Reward   74511.6 | Avg(10)   93783.8 | Dist    193m (  6.0%) | Buf  11.8% | Total   59084 | End: too_slow
Ep ep_000724.26 | Time 0:30.88 | Steps  1497 | Reward   82319.4 | Avg(10)   95187.5 | Dist    277m (  8.6%) | Buf  12.1% | Total   60581 | End: backwards
Ep ep_000725.26 | Time 2:30.21 | Steps  7167 | Reward  424632.3 | Avg(10)  130274.9 | Dist   2893m ( 90.4%) | Buf  13.5% | Total   67748 | End: off_track
Ep ep_000726.26 | Time 0:13.15 | Steps   678 | Reward   35911.2 | Avg(10)  124629.9 | Dist     10m (  0.3%) | Buf  13.7% | Total   68426 | End: off_track
Ep ep_000727.26 | Time 1:44.42 | Steps  4985 | Reward  294250.4 | Avg(10)  144659.3 | Dist   2064m ( 64.5%) | Buf  14.7% | Total   73411 | End: off_track
Ep ep_000728.26 | Time 1:47.55 | Steps  5127 | Reward  302871.2 | Avg(10)  165412.2 | Dist   1972m ( 61.6%) | Buf  15.7% | Total   78538 | End: off_track
  [ai-swap] loaded models/episodes/ep_000665.21 | new branch=27 | next=ep_000666.27
Ep ep_000666.27 | Time 0:37.51 | Steps  1823 | Reward  104395.8 | Avg(10)  104395.8 | Dist    444m ( 13.9%) | Buf   0.4% | Total   80361 | End: off_track
Ep ep_000667.27 | Time 0:11.55 | Steps   598 | Reward   31087.3 | Avg(10)   67741.5 | Dist     10m (  0.3%) | Buf   0.5% | Total   80959 | End: off_track
  [track] length measured by TORCS sensor: 3100m
Ep ep_000668.27 | Time 3:37.99 | Steps 10557 | Reward  631997.5 | Avg(10)  255826.8 | Dist   3100m (100.0%) | Buf   2.6% | Total   91516 | End: finished
Ep ep_000669.27 | Time 3:05.83 | Steps  8948 | Reward  531680.9 | Avg(10)  324790.4 | Dist   2781m ( 89.7%) | Buf   4.4% | Total  100464 | End: off_track
Ep ep_000670.27 | Time 3:27.53 | Steps 10034 | Reward  602336.9 | Avg(10)  380299.7 | Dist   3000m ( 96.8%) | Buf   6.4% | Total  110498 | End: finished
Ep ep_000671.27 | Time 2:50.09 | Steps  8161 | Reward  477381.6 | Avg(10)  396480.0 | Dist   2313m ( 74.6%) | Buf   8.0% | Total  118659 | End: too_slow
