Ep ep_000489.18 | Time 2:35.23 | Steps  7418 | Reward  360340.1 | Avg(10)  282649.7 | Dist   2766m ( 89.2%) | Buf  70.4% | Total  351883 | End: off_track
Ep ep_000490.18 | Time 1:48.45 | Steps  5168 | Reward  253447.5 | Avg(10)  284339.8 | Dist   1971m ( 63.6%) | Buf  71.4% | Total  357051 | End: off_track
Ep ep_000491.18 | Time 1:59.29 | Steps  5661 | Reward  278015.4 | Avg(10)  277603.9 | Dist   2109m ( 68.1%) | Buf  72.5% | Total  362712 | End: off_track
Ep ep_000492.18 | Time 1:15.05 | Steps  3650 | Reward  177225.7 | Avg(10)  259831.6 | Dist   1096m ( 35.4%) | Buf  73.3% | Total  366362 | End: off_track
Ep ep_000493.18 | Time 1:50.14 | Steps  5245 | Reward  256837.4 | Avg(10)  248614.1 | Dist   1972m ( 63.6%) | Buf  74.3% | Total  371607 | End: off_track
Ep ep_000494.18 | Time 0:20.21 | Steps  1012 | Reward   46030.1 | Avg(10)  215288.0 | Dist     10m (  0.3%) | Buf  74.5% | Total  372619 | End: off_track
Ep ep_000495.18 | Time 0:20.79 | Steps  1038 | Reward   47332.4 | Avg(10)  197222.8 | Dist     10m (  0.3%) | Buf  74.7% | Total  373657 | End: off_track
Ep ep_000496.18 | Time 0:40.99 | Steps  1997 | Reward   92866.2 | Avg(10)  194367.9 | Dist    387m ( 12.5%) | Buf  75.1% | Total  375654 | End: too_slow
Ep ep_000497.18 | Time 1:49.13 | Steps  5199 | Reward  254416.3 | Avg(10)  193624.9 | Dist   1970m ( 63.6%) | Buf  76.2% | Total  380853 | End: off_track
Ep ep_000498.18 | Time 1:48.58 | Steps  5174 | Reward  252910.9 | Avg(10)  201942.2 | Dist   1970m ( 63.5%) | Buf  77.2% | Total  386027 | End: off_track
Ep ep_000499.18 | Time 1:47.35 | Steps  5118 | Reward  249011.3 | Avg(10)  190809.3 | Dist   1970m ( 63.6%) | Buf  78.2% | Total  391145 | End: off_track
Ep ep_000500.18 | Time 1:46.75 | Steps  5091 | Reward  247557.8 | Avg(10)  190220.3 | Dist   1971m ( 63.6%) | Buf  79.2% | Total  396236 | End: off_track
Ep ep_000501.18 | Time 1:46.58 | Steps  5083 | Reward  248613.0 | Avg(10)  187280.1 | Dist   1969m ( 63.5%) | Buf  80.3% | Total  401319 | End: off_track
Ep ep_000502.18 | Time 1:47.68 | Steps  5133 | Reward  251192.4 | Avg(10)  194676.8 | Dist   1974m ( 63.7%) | Buf  81.3% | Total  406452 | End: off_track
Ep ep_000503.18 | Time 1:47.59 | Steps  5129 | Reward  251172.3 | Avg(10)  194110.3 | Dist   1979m ( 63.9%) | Buf  82.3% | Total  411581 | End: off_track
Ep ep_000504.18 | Time 1:46.84 | Steps  5095 | Reward  249337.7 | Avg(10)  214441.0 | Dist   1978m ( 63.8%) | Buf  83.3% | Total  416676 | End: off_track
=== Restarting after change (load: models/episodes/ep_000457.18) 2026-05-31 01:53:45 ===
=== Session 2026-05-31 01:54:22 | loaded: models/episodes/ep_000457.18 | next: ep_000458.19 ===
Ep ep_000458.19 | Time 0:05.68 | Steps   315 | Reward   10958.4 | Avg(10)   10958.4 | Dist     10m (  0.3%) | Buf   0.1% | Total     315 | End: off_track
Ep ep_000459.19 | Time 0:03.74 | Steps   227 | Reward    6626.8 | Avg(10)    8792.6 | Dist     10m (  0.3%) | Buf   0.1% | Total     542 | End: off_track
Ep ep_000460.19 | Time 0:03.81 | Steps   230 | Reward    6683.0 | Avg(10)    8089.4 | Dist     10m (  0.3%) | Buf   0.2% | Total     772 | End: off_track
Ep ep_000461.19 | Time 0:03.59 | Steps   220 | Reward    6224.1 | Avg(10)    7623.1 | Dist     10m (  0.3%) | Buf   0.2% | Total     992 | End: off_track
Ep ep_000462.19 | Time 0:02.60 | Steps   175 | Reward    3806.0 | Avg(10)    6859.7 | Dist     10m (  0.3%) | Buf   0.2% | Total    1167 | End: damage
Ep ep_000463.19 | Time 0:04.18 | Steps   247 | Reward    7439.2 | Avg(10)    6956.2 | Dist     10m (  0.3%) | Buf   0.3% | Total    1414 | End: off_track
Ep ep_000464.19 | Time 0:03.30 | Steps   207 | Reward    5183.7 | Avg(10)    6703.0 | Dist     10m (  0.3%) | Buf   0.3% | Total    1621 | End: off_track
Ep ep_000465.19 | Time 0:03.79 | Steps   229 | Reward    6307.4 | Avg(10)    6653.6 | Dist     10m (  0.3%) | Buf   0.4% | Total    1850 | End: off_track
Ep ep_000466.19 | Time 0:07.62 | Steps   403 | Reward   15357.1 | Avg(10)    7620.6 | Dist     10m (  0.3%) | Buf   0.5% | Total    2253 | End: off_track
Ep ep_000467.19 | Time 0:06.23 | Steps   340 | Reward   12101.9 | Avg(10)    8068.8 | Dist     10m (  0.3%) | Buf   0.5% | Total    2593 | End: off_track
Ep ep_000468.19 | Time 0:03.41 | Steps   212 | Reward    5575.1 | Avg(10)    7530.4 | Dist     10m (  0.3%) | Buf   0.6% | Total    2805 | End: off_track
Ep ep_000469.19 | Time 0:04.38 | Steps   256 | Reward    7858.3 | Avg(10)    7653.6 | Dist     10m (  0.3%) | Buf   0.6% | Total    3061 | End: off_track
Ep ep_000470.19 | Time 0:02.97 | Steps   192 | Reward    4076.3 | Avg(10)    7392.9 | Dist     10m (  0.3%) | Buf   0.7% | Total    3253 | End: off_track
Ep ep_000471.19 | Time 0:03.26 | Steps   205 | Reward    5010.3 | Avg(10)    7271.5 | Dist     10m (  0.3%) | Buf   0.7% | Total    3458 | End: off_track
Ep ep_000472.19 | Time 0:04.71 | Steps   271 | Reward    8702.0 | Avg(10)    7761.1 | Dist     10m (  0.3%) | Buf   0.7% | Total    3729 | End: off_track
Ep ep_000473.19 | Time 0:03.70 | Steps   225 | Reward    6468.8 | Avg(10)    7664.1 | Dist     10m (  0.3%) | Buf   0.8% | Total    3954 | End: off_track
Ep ep_000474.19 | Time 0:05.81 | Steps   321 | Reward   11130.8 | Avg(10)    8258.8 | Dist     10m (  0.3%) | Buf   0.9% | Total    4275 | End: off_track
Ep ep_000475.19 | Time 0:04.32 | Steps   253 | Reward    7880.4 | Avg(10)    8416.1 | Dist     10m (  0.3%) | Buf   0.9% | Total    4528 | End: off_track
Ep ep_000476.19 | Time 0:06.41 | Steps   348 | Reward   12595.4 | Avg(10)    8139.9 | Dist     10m (  0.3%) | Buf   1.0% | Total    4876 | End: off_track
Ep ep_000477.19 | Time 0:40.41 | Steps  1968 | Reward   91963.0 | Avg(10)   16126.0 | Dist    456m ( 14.3%) | Buf   1.4% | Total    6844 | End: off_track
Ep ep_000478.19 | Time 0:19.38 | Steps   974 | Reward   43745.6 | Avg(10)   19943.1 | Dist     10m (  0.3%) | Buf   1.6% | Total    7818 | End: off_track
Ep ep_000479.19 | Time 0:18.61 | Steps   939 | Reward   41649.1 | Avg(10)   23322.2 | Dist     10m (  0.3%) | Buf   1.8% | Total    8757 | End: off_track
Ep ep_000480.19 | Time 0:19.22 | Steps   967 | Reward   43435.4 | Avg(10)   27258.1 | Dist     10m (  0.3%) | Buf   1.9% | Total    9724 | End: off_track
Ep ep_000481.19 | Time 0:17.99 | Steps   911 | Reward   40540.6 | Avg(10)   30811.1 | Dist     10m (  0.3%) | Buf   2.1% | Total   10635 | End: off_track
