Ep ep_000533.20 | Time 1:02.97 | Steps  3096 | Reward  150583.5 | Avg(10)  201776.7 | Dist   1053m ( 34.0%) | Buf  35.9% | Total  179379 | End: off_track
Ep ep_000534.20 | Time 1:04.51 | Steps  3171 | Reward  153953.6 | Avg(10)  179155.5 | Dist   1055m ( 34.0%) | Buf  36.5% | Total  182550 | End: off_track
Ep ep_000535.20 | Time 1:05.66 | Steps  3223 | Reward  156732.8 | Avg(10)  170228.3 | Dist   1076m ( 34.7%) | Buf  37.2% | Total  185773 | End: off_track
Ep ep_000536.20 | Time 1:07.20 | Steps  3293 | Reward  160314.2 | Avg(10)  160089.8 | Dist   1071m ( 34.5%) | Buf  37.8% | Total  189066 | End: off_track
Ep ep_000537.20 | Time 1:50.12 | Steps  5244 | Reward  255595.7 | Avg(10)  168457.7 | Dist   2004m ( 64.6%) | Buf  38.9% | Total  194310 | End: off_track
Ep ep_000538.20 | Time 0:34.27 | Steps  1661 | Reward   78550.2 | Avg(10)  159034.0 | Dist    291m (  9.4%) | Buf  39.2% | Total  195971 | End: off_track
Ep ep_000539.20 | Time 0:32.63 | Steps  1579 | Reward   74555.6 | Avg(10)  149709.2 | Dist    255m (  8.2%) | Buf  39.5% | Total  197550 | End: off_track
Ep ep_000540.20 | Time 1:10.28 | Steps  3433 | Reward  167287.1 | Avg(10)  150181.4 | Dist   1084m ( 35.0%) | Buf  40.2% | Total  200983 | End: off_track
Ep ep_000541.20 | Time 0:34.61 | Steps  1678 | Reward   79566.7 | Avg(10)  142732.0 | Dist    296m (  9.6%) | Buf  40.5% | Total  202661 | End: off_track
Ep ep_000542.20 | Time 1:09.20 | Steps  3384 | Reward  164608.3 | Avg(10)  144174.8 | Dist   1091m ( 35.2%) | Buf  41.2% | Total  206045 | End: off_track
Ep ep_000543.20 | Time 1:11.05 | Steps  3468 | Reward  168919.3 | Avg(10)  146008.4 | Dist   1131m ( 36.5%) | Buf  41.9% | Total  209513 | End: off_track
Ep ep_000544.20 | Time 1:45.32 | Steps  5026 | Reward  242042.6 | Avg(10)  154817.3 | Dist   1737m ( 56.0%) | Buf  42.9% | Total  214539 | End: off_track
Ep ep_000545.20 | Time 1:36.00 | Steps  4602 | Reward  223681.0 | Avg(10)  161512.1 | Dist   1625m ( 52.4%) | Buf  43.8% | Total  219141 | End: off_track
Ep ep_000546.20 | Time 1:31.33 | Steps  4390 | Reward  213919.2 | Avg(10)  166872.6 | Dist   1561m ( 50.4%) | Buf  44.7% | Total  223531 | End: off_track
Ep ep_000547.20 | Time 2:36.83 | Steps  7498 | Reward  363504.6 | Avg(10)  177663.5 | Dist   2779m ( 89.6%) | Buf  46.2% | Total  231029 | End: off_track
Ep ep_000548.20 | Time 1:29.95 | Steps  4327 | Reward  211476.5 | Avg(10)  190956.1 | Dist   1467m ( 47.3%) | Buf  47.1% | Total  235356 | End: off_track
Ep ep_000549.20 | Time 1:44.58 | Steps  4992 | Reward  240079.2 | Avg(10)  207508.5 | Dist   1735m ( 56.0%) | Buf  48.1% | Total  240348 | End: off_track
Ep ep_000550.20 | Time 0:23.27 | Steps  1151 | Reward   53338.9 | Avg(10)  196113.6 | Dist     10m (  0.3%) | Buf  48.3% | Total  241499 | End: off_track
Ep ep_000551.20 | Time 0:21.49 | Steps  1070 | Reward   49187.0 | Avg(10)  193075.7 | Dist     10m (  0.3%) | Buf  48.5% | Total  242569 | End: off_track
Ep ep_000552.20 | Time 0:20.94 | Steps  1045 | Reward   47907.0 | Avg(10)  181405.5 | Dist     10m (  0.3%) | Buf  48.7% | Total  243614 | End: off_track
Ep ep_000553.20 | Time 1:44.29 | Steps  4979 | Reward  239394.4 | Avg(10)  188453.0 | Dist   1759m ( 56.8%) | Buf  49.7% | Total  248593 | End: off_track
Ep ep_000554.20 | Time 0:20.41 | Steps  1021 | Reward   46729.2 | Avg(10)  168921.7 | Dist     10m (  0.3%) | Buf  49.9% | Total  249614 | End: off_track
Ep ep_000555.20 | Time 0:20.87 | Steps  1042 | Reward   47845.5 | Avg(10)  151338.1 | Dist     10m (  0.3%) | Buf  50.1% | Total  250656 | End: off_track
Ep ep_000556.20 | Time 0:23.38 | Steps  1156 | Reward   53533.7 | Avg(10)  135299.6 | Dist     10m (  0.3%) | Buf  50.4% | Total  251812 | End: off_track
Ep ep_000557.20 | Time 0:22.70 | Steps  1125 | Reward   51921.1 | Avg(10)  104141.2 | Dist     10m (  0.3%) | Buf  50.6% | Total  252937 | End: off_track
Ep ep_000558.20 | Time 0:20.50 | Steps  1025 | Reward   46974.8 | Avg(10)   87691.1 | Dist     10m (  0.3%) | Buf  50.8% | Total  253962 | End: off_track
Ep ep_000559.20 | Time 0:22.92 | Steps  1135 | Reward   52462.1 | Avg(10)   68929.4 | Dist     10m (  0.3%) | Buf  51.0% | Total  255097 | End: off_track
Ep ep_000560.20 | Time 0:22.55 | Steps  1118 | Reward   51683.1 | Avg(10)   68763.8 | Dist     10m (  0.3%) | Buf  51.2% | Total  256215 | End: off_track
Ep ep_000561.20 | Time 0:22.50 | Steps  1116 | Reward   51584.2 | Avg(10)   69003.5 | Dist     10m (  0.3%) | Buf  51.5% | Total  257331 | End: off_track
Ep ep_000562.20 | Time 1:50.03 | Steps  5240 | Reward  255689.1 | Avg(10)   89781.7 | Dist   1994m ( 64.3%) | Buf  52.5% | Total  262571 | End: off_track
Ep ep_000563.20 | Time 0:22.57 | Steps  1119 | Reward   51737.4 | Avg(10)   71016.0 | Dist     10m (  0.3%) | Buf  52.7% | Total  263690 | End: off_track
Ep ep_000564.20 | Time 0:22.85 | Steps  1132 | Reward   52313.1 | Avg(10)   71574.4 | Dist     10m (  0.3%) | Buf  53.0% | Total  264822 | End: off_track
Ep ep_000565.20 | Time 2:30.73 | Steps  7193 | Reward  353525.3 | Avg(10)  102142.4 | Dist   2774m ( 89.5%) | Buf  54.4% | Total  272015 | End: off_track
Ep ep_000566.20 | Time 0:21.62 | Steps  1076 | Reward   49655.6 | Avg(10)  101754.6 | Dist     10m (  0.3%) | Buf  54.6% | Total  273091 | End: off_track
Ep ep_000567.20 | Time 0:21.07 | Steps  1051 | Reward   48299.8 | Avg(10)  101392.4 | Dist     10m (  0.3%) | Buf  54.8% | Total  274142 | End: off_track
Ep ep_000568.20 | Time 1:06.65 | Steps  3268 | Reward  157001.9 | Avg(10)  112395.2 | Dist   1062m ( 34.3%) | Buf  55.5% | Total  277410 | End: too_slow
Ep ep_000569.20 | Time 1:27.11 | Steps  4198 | Reward  205378.0 | Avg(10)  127686.8 | Dist   1448m ( 46.7%) | Buf  56.3% | Total  281608 | End: off_track
Ep ep_000570.20 | Time 0:22.15 | Steps  1100 | Reward   50736.9 | Avg(10)  127592.1 | Dist     10m (  0.3%) | Buf  56.5% | Total  282708 | End: off_track
Ep ep_000571.20 | Time 0:22.00 | Steps  1093 | Reward   50317.3 | Avg(10)  127465.4 | Dist     10m (  0.3%) | Buf  56.8% | Total  283801 | End: off_track
Ep ep_000572.20 | Time 1:24.34 | Steps  4072 | Reward  199277.6 | Avg(10)  121824.3 | Dist   1453m ( 46.9%) | Buf  57.6% | Total  287873 | End: off_track
Ep ep_000573.20 | Time 1:24.18 | Steps  4065 | Reward  198940.7 | Avg(10)  136544.6 | Dist   1450m ( 46.8%) | Buf  58.4% | Total  291938 | End: off_track
Ep ep_000574.20 | Time 1:22.27 | Steps  3978 | Reward  194527.8 | Avg(10)  150766.1 | Dist   1450m ( 46.8%) | Buf  59.2% | Total  295916 | End: off_track
Ep ep_000575.20 | Time 1:24.67 | Steps  4087 | Reward  198606.1 | Avg(10)  135274.2 | Dist   1459m ( 47.1%) | Buf  60.0% | Total  300003 | End: too_slow
Ep ep_000576.20 | Time 2:24.93 | Steps  6903 | Reward  340325.0 | Avg(10)  164341.1 | Dist   2773m ( 89.4%) | Buf  61.4% | Total  306906 | End: off_track
Ep ep_000577.20 | Time 2:28.93 | Steps  7103 | Reward  350487.8 | Avg(10)  194559.9 | Dist   2774m ( 89.5%) | Buf  62.8% | Total  314009 | End: off_track
Ep ep_000578.20 | Time 2:45.71 | Steps  7943 | Reward  397108.1 | Avg(10)  218570.5 | Dist   3000m ( 96.8%) | Buf  64.4% | Total  321952 | End: finished
