t,dfs,v,steer,angle,width,trackPos,ontrack
3.458,32.2093,22.0349,0.0162462,0.019449,12.0023,-0.00427556,1
3.48,32.6934,21.9857,-4.42354e-06,0.0181355,12.002,-0.00577601,1
3.502,33.1783,22.1352,-0.00142286,0.0173934,12.0018,-0.00723958,1
3.524,33.6671,22.2444,-0.00450383,0.0171519,12.0018,-0.00871062,1
3.546,34.1558,22.1934,0.0114787,0.0173045,12.0018,-0.0101716,1
3.568,34.6434,22.1436,0.0181298,0.0172677,12.0018,-0.0115952,1
3.59,35.1299,22.0939,0.0259886,0.0167485,12.0017,-0.0129425,1
3.612,35.6153,22.0444,0.0243198,0.0157553,12.0015,-0.0141871,1
3.634,36.0997,21.9951,0.019007,0.0144217,12.0012,-0.0153258,1
3.656,36.5848,22.1448,0.0403926,0.0130797,12.001,-0.016386,1
3.678,37.0739,22.2536,0.0350518,0.0113679,12.0008,-0.0173373,1
3.7,37.5628,22.2022,0.0396516,0.00943115,12.0005,-0.0181135,1
3.722,38.0507,22.1521,0.032015,0.00726941,12.0003,-0.0187155,1
3.744,38.5374,22.1024,0.0248764,0.00510633,12.0002,-0.0191541,1
3.766,39.0231,22.0529,0.0227305,0.00320873,12.0001,-0.0194582,1
3.788,39.5077,22.0036,0.00738468,0.00154828,12,-0.0196419,1
3.81,39.9912,21.9546,0.00652609,0.000387207,12,-0.0197437,1
3.832,40.4755,22.1041,0.027412,-0.000343636,12,-0.0197972,1
3.854,40.9638,22.2128,0.0275549,-0.00135304,12,-0.0197585,1
3.876,41.4518,22.1616,0.018135,-0.00268565,12,-0.0195716,1
3.898,41.9387,22.1121,0.0135787,-0.00403267,12.0001,-0.0192715,1
3.92,42.4246,22.0628,0.00644374,-0.0051658,12.0002,-0.0188932,1
3.942,42.9094,22.0137,-0.023862,-0.00598553,12.0002,-0.0184567,1
3.964,43.3931,21.9645,-0.0152688,-0.00585438,12.0002,-0.0180573,1
3.986,43.8775,22.1119,-0.0171349,-0.00511433,12.0002,-0.0177196,1
4.008,44.3659,22.2199,-0.0229866,-0.00418632,12.0001,-0.0174208,1
4.03,44.8542,22.1689,-0.00847547,-0.00301327,12.0001,-0.0171977,1
4.052,45.3413,22.1193,-0.00347709,-0.00201057,12,-0.0170343,1
4.074,45.8273,22.0699,-0.00626825,-0.00140154,12,-0.0168957,1
4.096,46.3122,22.0207,-0.0108495,-0.000925422,12,-0.0167871,1
4.118,46.7961,21.9717,0.00329609,-0.000323594,12,-0.0167288,1
4.14,47.2807,22.1164,0.000947083,2.262e-05,12,-0.0166921,1
4.162,47.7691,22.2228,0.0172615,0.00012368,12,-0.0166539,1
4.184,48.2574,22.1718,0.010566,-0.000151962,12,-0.0165906,1
4.206,48.7446,22.1222,-0.000159219,-0.00067088,12,-0.0164835,1
4.228,49.2307,22.0729,0.00495154,-0.000929832,12,-0.0163736,1
4.25,49.7157,22.0237,0.00634522,-0.00105445,12,-0.0162633,1
4.272,50.1996,21.9747,0.0148644,-0.00123812,12,-0.0161349,1
4.294,50.6843,22.1203,0.0115563,-0.00172248,12,-0.015968,1
4.316,51.1729,22.2275,0.0166906,-0.00239164,12,-0.0157527,1
4.338,51.6613,22.1765,0.0185242,-0.0030804,12.0001,-0.01548,1
4.36,52.1486,22.1268,0.0192219,-0.00391747,12.0001,-0.0151352,1
4.382,52.6348,22.0774,0.025122,-0.0048797,12.0001,-0.0147143,1
4.404,53.1199,22.028,0.0188978,-0.00615953,12.0002,-0.0142023,1
4.426,53.6039,21.979,0.0202582,-0.00751457,12.0003,-0.013598,1
4.448,54.0888,22.1286,0.0125429,-0.00881577,12.0005,-0.0129121,1
4.47,54.5776,22.2379,0.00689796,-0.00992,12.0006,-0.0121579,1
4.492,55.0662,22.1869,-0.0044629,-0.0105961,12.0007,-0.0113414,1
4.514,55.5536,22.1372,-0.00479554,-0.0109101,12.0007,-0.0105043,1
4.536,56.04,22.0878,-0.000929291,-0.0109175,12.0007,-0.00967367,1
4.558,56.5254,22.0385,0.00769224,-0.0109021,12.0007,-0.00883969,1
4.58,57.0096,21.9894,-0.000937038,-0.0111602,12.0007,-0.00797081,1
4.602,57.4946,22.1379,-0.00637279,-0.0113971,12.0008,-0.0070796,1
4.624,57.9836,22.2463,-0.00316034,-0.0113051,12.0008,-0.00619109,1
4.646,58.4723,22.1953,-0.00826763,-0.0110187,12.0007,-0.00531117,1
4.668,58.96,22.1456,0.00365605,-0.0106088,12.0007,-0.00445231,1
4.69,59.4466,22.0961,-0.00333452,-0.0103621,12.0006,-0.00360115,1
4.712,59.932,22.0468,-0.0154819,-0.0101869,12.0006,-0.00275159,1
4.734,60.4165,21.9976,-0.027977,-0.00963357,12.0006,-0.0019594,1
4.756,60.9017,22.1421,-0.0206292,-0.00846449,12.0004,-0.00126902,1
4.778,61.3907,22.2484,-0.0139962,-0.00703022,12.0003,-0.000664949,1
4.8,61.8795,22.1974,-0.0163808,-0.0058428,12.0002,-0.000150442,1
4.822,62.3672,22.1476,-0.0321604,-0.0047909,12.0001,0.000282447,1
4.844,62.8539,22.0979,-0.0270413,-0.00336418,12.0001,0.00058643,1
4.866,63.3395,22.0485,-0.0180448,-0.00166599,12,0.000746489,1
4.888,63.8239,21.9993,-0.00670481,-0.000163823,12,0.000803153,1
4.91,64.3091,22.1429,0.00122549,0.000844359,12,0.000795682,1
4.932,64.798,22.2488,0.0110515,0.00137006,12,0.000776768,1
4.954,65.287,22.1977,0.0184769,0.00136065,12,0.000749111,1
4.976,65.7747,22.1479,0.00898884,0.000854939,12,0.000761191,1
4.998,66.2614,22.0985,0.0157839,0.000280544,12,0.000802517,1
5.02,66.747,22.0491,0.013111,-0.00035201,12,0.000878731,1
