Ep ep_000298.17 | Time 0:09.51 | Steps   496 | Reward   20512.4 | Avg(10)   15586.8 | Dist     10m (  0.3%) | Buf   1.5% | Total    7358 | End: off_track
Ep ep_000299.17 | Time 0:10.27 | Steps   534 | Reward   22366.9 | Avg(10)   17383.4 | Dist     10m (  0.3%) | Buf   1.6% | Total    7892 | End: off_track
Ep ep_000300.17 | Time 0:09.59 | Steps   500 | Reward   20679.1 | Avg(10)   18568.2 | Dist     10m (  0.3%) | Buf   1.7% | Total    8392 | End: off_track
Ep ep_000301.17 | Time 0:10.07 | Steps   524 | Reward   21900.4 | Avg(10)   19657.6 | Dist     10m (  0.3%) | Buf   1.8% | Total    8916 | End: off_track
Ep ep_000302.17 | Time 0:39.35 | Steps  1915 | Reward   91236.7 | Avg(10)   28344.8 | Dist    501m ( 15.7%) | Buf   2.2% | Total   10831 | End: off_track
Ep ep_000303.17 | Time 1:18.73 | Steps  3817 | Reward  186343.4 | Avg(10)   46410.2 | Dist   1850m ( 57.8%) | Buf   2.9% | Total   14648 | End: off_track
Ep ep_000304.17 | Time 1:02.25 | Steps  3060 | Reward  148062.2 | Avg(10)   60826.3 | Dist   1282m ( 40.1%) | Buf   3.5% | Total   17708 | End: off_track
Ep ep_000305.17 | Time 1:13.60 | Steps  3584 | Reward  174604.9 | Avg(10)   77664.2 | Dist   1694m ( 52.9%) | Buf   4.3% | Total   21292 | End: off_track
Ep ep_000306.17 | Time 1:15.38 | Steps  3665 | Reward  178677.0 | Avg(10)   94879.2 | Dist   1792m ( 56.0%) | Buf   5.0% | Total   24957 | End: off_track
Ep ep_000307.17 | Time 0:20.37 | Steps  1019 | Reward   46119.9 | Avg(10)   91050.3 | Dist    120m (  3.7%) | Buf   5.2% | Total   25976 | End: off_track
Ep ep_000308.17 | Time 0:19.47 | Steps   978 | Reward   44184.0 | Avg(10)   93417.4 | Dist    115m (  3.6%) | Buf   5.4% | Total   26954 | End: off_track
Ep ep_000309.17 | Time 0:42.83 | Steps  2089 | Reward   99755.0 | Avg(10)  101156.3 | Dist    721m ( 22.5%) | Buf   5.8% | Total   29043 | End: off_track
Ep ep_000310.17 | Time 0:13.61 | Steps   701 | Reward   30290.6 | Avg(10)  102117.4 | Dist     10m (  0.3%) | Buf   5.9% | Total   29744 | End: off_track
Ep ep_000311.17 | Time 1:12.21 | Steps  3521 | Reward  171339.1 | Avg(10)  117061.3 | Dist   1758m ( 54.9%) | Buf   6.7% | Total   33265 | End: off_track
Ep ep_000312.17 | Time 1:25.55 | Steps  4127 | Reward  198398.1 | Avg(10)  127777.4 | Dist   2084m ( 65.1%) | Buf   7.5% | Total   37392 | End: off_track
Ep ep_000313.17 | Time 0:58.97 | Steps  2896 | Reward  140123.3 | Avg(10)  123155.4 | Dist   1236m ( 38.6%) | Buf   8.1% | Total   40288 | End: off_track
Ep ep_000314.17 | Time 1:01.35 | Steps  3015 | Reward  146122.2 | Avg(10)  122961.4 | Dist   1240m ( 38.7%) | Buf   8.7% | Total   43303 | End: off_track
Ep ep_000315.17 | Time 0:20.76 | Steps  1037 | Reward   47249.3 | Avg(10)  110225.9 | Dist    154m (  4.8%) | Buf   8.9% | Total   44340 | End: off_track
Ep ep_000316.17 | Time 1:17.49 | Steps  3761 | Reward  183302.7 | Avg(10)  110688.4 | Dist   1649m ( 51.5%) | Buf   9.6% | Total   48101 | End: off_track
Ep ep_000317.17 | Time 2:25.37 | Steps  6925 | Reward  322034.5 | Avg(10)  138279.9 | Dist   2878m ( 90.0%) | Buf  11.0% | Total   55026 | End: off_track
Ep ep_000318.17 | Time 1:23.74 | Steps  4045 | Reward  197539.9 | Avg(10)  153615.5 | Dist   1872m ( 58.5%) | Buf  11.8% | Total   59071 | End: off_track
Ep ep_000319.17 | Time 1:35.71 | Steps  4589 | Reward  221206.5 | Avg(10)  165760.6 | Dist   2104m ( 65.7%) | Buf  12.7% | Total   63660 | End: too_slow
Ep ep_000320.17 | Time 2:19.15 | Steps  6614 | Reward  319471.2 | Avg(10)  194678.7 | Dist   2874m ( 89.8%) | Buf  14.1% | Total   70274 | End: off_track
Ep ep_000321.17 | Time 2:20.21 | Steps  6667 | Reward  318437.7 | Avg(10)  209388.5 | Dist   2867m ( 89.6%) | Buf  15.4% | Total   76941 | End: off_track
Ep ep_000322.17 | Time 2:17.39 | Steps  6526 | Reward  314909.8 | Avg(10)  221039.7 | Dist   2873m ( 89.8%) | Buf  16.7% | Total   83467 | End: off_track
Ep ep_000323.17 | Time 1:29.24 | Steps  4295 | Reward  209859.8 | Avg(10)  228013.4 | Dist   2069m ( 64.7%) | Buf  17.6% | Total   87762 | End: off_track
Ep ep_000324.17 | Time 0:19.44 | Steps   977 | Reward   44432.5 | Avg(10)  217844.4 | Dist     85m (  2.7%) | Buf  17.7% | Total   88739 | End: off_track
Ep ep_000325.17 | Time 1:08.39 | Steps  3347 | Reward  160806.2 | Avg(10)  229200.1 | Dist   1449m ( 45.3%) | Buf  18.4% | Total   92086 | End: off_track
Ep ep_000326.17 | Time 1:29.40 | Steps  4302 | Reward  209167.2 | Avg(10)  231786.5 | Dist   2069m ( 64.7%) | Buf  19.3% | Total   96388 | End: off_track
Ep ep_000327.17 | Time 0:24.75 | Steps  1218 | Reward   53927.5 | Avg(10)  204975.8 | Dist    187m (  5.8%) | Buf  19.5% | Total   97606 | End: off_track
Ep ep_000328.17 | Time 0:36.23 | Steps  1759 | Reward   78590.3 | Avg(10)  193080.9 | Dist    539m ( 16.8%) | Buf  19.9% | Total   99365 | End: off_track
Ep ep_000329.17 | Time 1:09.99 | Steps  3420 | Reward  165690.2 | Avg(10)  187529.2 | Dist   1550m ( 48.5%) | Buf  20.6% | Total  102785 | End: off_track
Ep ep_000330.17 | Time 1:13.64 | Steps  3586 | Reward  174407.3 | Avg(10)  173022.8 | Dist   1542m ( 48.2%) | Buf  21.3% | Total  106371 | End: off_track
Ep ep_000331.17 | Time 1:04.47 | Steps  3169 | Reward  153908.1 | Avg(10)  156569.9 | Dist   1214m ( 38.0%) | Buf  21.9% | Total  109540 | End: off_track
Ep ep_000332.17 | Time 1:06.89 | Steps  3279 | Reward  156579.4 | Avg(10)  140736.8 | Dist   1232m ( 38.5%) | Buf  22.6% | Total  112819 | End: off_track
Ep ep_000333.17 | Time 1:37.47 | Steps  4669 | Reward  228747.5 | Avg(10)  142625.6 | Dist   2071m ( 64.7%) | Buf  23.5% | Total  117488 | End: off_track
Ep ep_000334.17 | Time 2:14.21 | Steps  6367 | Reward  312267.9 | Avg(10)  169409.1 | Dist   2875m ( 89.8%) | Buf  24.8% | Total  123855 | End: off_track
Ep ep_000335.17 | Time 1:08.85 | Steps  3368 | Reward  159012.9 | Avg(10)  169229.8 | Dist   1285m ( 40.1%) | Buf  25.4% | Total  127223 | End: too_slow
Ep ep_000336.17 | Time 0:22.37 | Steps  1110 | Reward   49345.5 | Avg(10)  153247.6 | Dist    148m (  4.6%) | Buf  25.7% | Total  128333 | End: too_slow
Ep ep_000337.17 | Time 0:22.30 | Steps  1107 | Reward   49562.5 | Avg(10)  152811.1 | Dist    139m (  4.3%) | Buf  25.9% | Total  129440 | End: too_slow
Ep ep_000338.17 | Time 2:12.77 | Steps  6295 | Reward  309663.7 | Avg(10)  175918.5 | Dist   2883m ( 90.1%) | Buf  27.1% | Total  135735 | End: off_track
Ep ep_000339.17 | Time 1:28.05 | Steps  4241 | Reward  205707.7 | Avg(10)  179920.2 | Dist   1857m ( 58.0%) | Buf  28.0% | Total  139976 | End: off_track
Ep ep_000340.17 | Time 1:17.89 | Steps  3779 | Reward  184265.5 | Avg(10)  180906.1 | Dist   1690m ( 52.8%) | Buf  28.8% | Total  143755 | End: off_track
Ep ep_000341.17 | Time 1:30.67 | Steps  4360 | Reward  211270.0 | Avg(10)  186642.2 | Dist   2041m ( 63.8%) | Buf  29.6% | Total  148115 | End: off_track
Ep ep_000342.17 | Time 1:28.87 | Steps  4278 | Reward  208935.1 | Avg(10)  191877.8 | Dist   2087m ( 65.2%) | Buf  30.5% | Total  152393 | End: off_track
Ep ep_000343.17 | Time 1:29.48 | Steps  4306 | Reward  209617.1 | Avg(10)  189964.8 | Dist   2079m ( 65.0%) | Buf  31.3% | Total  156699 | End: off_track
Ep ep_000344.17 | Time 1:19.01 | Steps  3830 | Reward  186648.4 | Avg(10)  177402.8 | Dist   1850m ( 57.8%) | Buf  32.1% | Total  160529 | End: off_track
Ep ep_000345.17 | Time 2:10.99 | Steps  6206 | Reward  298841.3 | Avg(10)  191385.7 | Dist   2869m ( 89.7%) | Buf  33.3% | Total  166735 | End: off_track
Ep ep_000346.17 | Time 1:28.87 | Steps  4278 | Reward  208991.9 | Avg(10)  207350.3 | Dist   2080m ( 65.0%) | Buf  34.2% | Total  171013 | End: off_track
Ep ep_000347.17 | Time 1:35.05 | Steps  4559 | Reward  218132.7 | Avg(10)  224207.3 | Dist   2080m ( 65.0%) | Buf  35.1% | Total  175572 | End: off_track
Ep ep_000348.17 | Time 1:31.00 | Steps  4375 | Reward  213197.0 | Avg(10)  214560.7 | Dist   2077m ( 64.9%) | Buf  36.0% | Total  179947 | End: off_track
Ep ep_000349.17 | Time 0:16.87 | Steps   860 | Reward   38844.1 | Avg(10)  197874.3 | Dist     51m (  1.6%) | Buf  36.2% | Total  180807 | End: off_track
Ep ep_000350.17 | Time 1:32.19 | Steps  4429 | Reward  215123.0 | Avg(10)  200960.1 | Dist   2072m ( 64.7%) | Buf  37.0% | Total  185236 | End: off_track
Ep ep_000351.17 | Time 1:39.71 | Steps  4771 | Reward  225084.8 | Avg(10)  202341.5 | Dist   2069m ( 64.7%) | Buf  38.0% | Total  190007 | End: off_track
Ep ep_000352.17 | Time 1:45.83 | Steps  5049 | Reward  232951.2 | Avg(10)  204743.2 | Dist   2059m ( 64.3%) | Buf  39.0% | Total  195056 | End: off_track
Ep ep_000353.17 | Time 1:22.82 | Steps  4003 | Reward  192921.6 | Avg(10)  203073.6 | Dist   1711m ( 53.5%) | Buf  39.8% | Total  199059 | End: too_slow
Ep ep_000354.17 | Time 1:10.81 | Steps  3457 | Reward  168755.0 | Avg(10)  201284.3 | Dist   1548m ( 48.4%) | Buf  40.5% | Total  202516 | End: off_track
Ep ep_000355.17 | Time 0:33.51 | Steps  1623 | Reward   76006.7 | Avg(10)  179000.8 | Dist    378m ( 11.8%) | Buf  40.8% | Total  204139 | End: too_slow
Ep ep_000356.17 | Time 1:12.76 | Steps  3546 | Reward  173211.8 | Avg(10)  175422.8 | Dist   1567m ( 49.0%) | Buf  41.5% | Total  207685 | End: off_track
Ep ep_000357.17 | Time 1:12.19 | Steps  3520 | Reward  171808.5 | Avg(10)  170790.4 | Dist   1540m ( 48.1%) | Buf  42.2% | Total  211205 | End: off_track
Ep ep_000358.17 | Time 2:23.37 | Steps  6825 | Reward  248977.2 | Avg(10)  174368.4 | Dist   2068m ( 64.6%) | Buf  43.6% | Total  218030 | End: off_track
Ep ep_000359.17 | Time 1:50.23 | Steps  5249 | Reward  234447.3 | Avg(10)  193928.7 | Dist   2046m ( 63.9%) | Buf  44.7% | Total  223279 | End: off_track
Ep ep_000360.17 | Time 0:15.85 | Steps   813 | Reward   36415.1 | Avg(10)  176057.9 | Dist     30m (  0.9%) | Buf  44.8% | Total  224092 | End: off_track
