Ep ep_000675.22 | Time 0:04.34 | Steps   254 | Reward    7826.1 | Avg(10)    6916.9 | Dist     10m (  0.3%) | Buf   0.1% | Total     473 | End: off_track
Ep ep_000676.22 | Time 0:03.88 | Steps   233 | Reward    6829.5 | Avg(10)    6887.8 | Dist     10m (  0.3%) | Buf   0.1% | Total     706 | End: off_track
Ep ep_000677.22 | Time 0:03.17 | Steps   201 | Reward    4625.4 | Avg(10)    6322.2 | Dist     10m (  0.3%) | Buf   0.2% | Total     907 | End: off_track
Ep ep_000678.22 | Time 0:03.17 | Steps   201 | Reward    4663.3 | Avg(10)    5990.4 | Dist     10m (  0.3%) | Buf   0.2% | Total    1108 | End: off_track
Ep ep_000679.22 | Time 0:04.12 | Steps   244 | Reward    7080.3 | Avg(10)    6172.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1352 | End: off_track
Ep ep_000680.22 | Time 0:03.37 | Steps   210 | Reward    5270.3 | Avg(10)    6043.3 | Dist     10m (  0.3%) | Buf   0.3% | Total    1562 | End: off_track
Ep ep_000681.22 | Time 0:03.52 | Steps   217 | Reward    6066.0 | Avg(10)    6046.1 | Dist     10m (  0.3%) | Buf   0.4% | Total    1779 | End: off_track
Ep ep_000682.22 | Time 0:05.64 | Steps   313 | Reward   10734.5 | Avg(10)    6567.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    2092 | End: off_track
Ep ep_000683.22 | Time 0:04.03 | Steps   240 | Reward    7147.1 | Avg(10)    6625.0 | Dist     10m (  0.3%) | Buf   0.5% | Total    2332 | End: off_track
Ep ep_000684.22 | Time 0:05.33 | Steps   299 | Reward   10060.4 | Avg(10)    7030.3 | Dist     10m (  0.3%) | Buf   0.5% | Total    2631 | End: off_track
Ep ep_000685.22 | Time 0:03.19 | Steps   202 | Reward    4915.6 | Avg(10)    6739.2 | Dist     10m (  0.3%) | Buf   0.6% | Total    2833 | End: off_track
Ep ep_000686.22 | Time 0:03.77 | Steps   228 | Reward    6644.9 | Avg(10)    6720.8 | Dist     10m (  0.3%) | Buf   0.6% | Total    3061 | End: off_track
=== Restarting after change (load: models/episodes/ep_000665.21) 2026-05-31 09:09:40 ===
=== Session 2026-05-31 09:10:04 | loaded: models/episodes/ep_000665.21 | next: ep_000666.23 ===
Ep ep_000666.23 | Time 0:04.29 | Steps   252 | Reward    9853.2 | Avg(10)    9853.2 | Dist     10m (  0.3%) | Buf   0.1% | Total     252 | End: off_track
Ep ep_000667.23 | Time 0:03.30 | Steps   207 | Reward    7196.2 | Avg(10)    8524.7 | Dist     10m (  0.3%) | Buf   0.1% | Total     459 | End: off_track
Ep ep_000668.23 | Time 0:03.55 | Steps   218 | Reward    7822.3 | Avg(10)    8290.6 | Dist     10m (  0.3%) | Buf   0.1% | Total     677 | End: off_track
Ep ep_000669.23 | Time 0:03.15 | Steps   200 | Reward    6645.1 | Avg(10)    7879.2 | Dist     10m (  0.3%) | Buf   0.2% | Total     877 | End: off_track
Ep ep_000670.23 | Time 0:03.41 | Steps   212 | Reward    7477.4 | Avg(10)    7798.8 | Dist     10m (  0.3%) | Buf   0.2% | Total    1089 | End: off_track
Ep ep_000671.23 | Time 0:04.67 | Steps   269 | Reward   10941.6 | Avg(10)    8322.6 | Dist     10m (  0.3%) | Buf   0.3% | Total    1358 | End: off_track
Ep ep_000672.23 | Time 0:03.59 | Steps   220 | Reward    7939.9 | Avg(10)    8267.9 | Dist     10m (  0.3%) | Buf   0.3% | Total    1578 | End: off_track
Ep ep_000673.23 | Time 0:03.61 | Steps   221 | Reward    7908.2 | Avg(10)    8223.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    1799 | End: off_track
Ep ep_000674.23 | Time 0:04.91 | Steps   280 | Reward   11553.2 | Avg(10)    8593.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    2079 | End: off_track
Ep ep_000675.23 | Time 0:08.71 | Steps   456 | Reward   22103.3 | Avg(10)    9944.0 | Dist     10m (  0.3%) | Buf   0.5% | Total    2535 | End: off_track
Ep ep_000676.23 | Time 0:04.14 | Steps   245 | Reward    9499.2 | Avg(10)    9908.6 | Dist     10m (  0.3%) | Buf   0.6% | Total    2780 | End: off_track
